floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
534,0.05189,0.0609139459038858,1014,0.06089,0.0728056174696529,1603,0.03806,0.14832,2275,,,,,
484,0.00004,0.232862137239412,962,0.00105,0.302033452995016,1549,0.00249,0.59962,2291,,,,,
534,0.05189,0.0609139459038858,1004,0.03443,0.101937598075709,1582,0.01517,0.30422,2274,,,,,
534,0.05189,0.0609139459038858,989,0.01249,0.159189045068407,1556,0.00369,0.54886,2233,,,,,
535,0.05631,0.0589208016905911,1007,0.04063,0.0924632563358347,1608,0.04651,0.1199,2245,,,,,
533,0.04794,0.0629574035406007,1005,0.03643,0.0987078893913366,1610,0.04996,0.09661,2282,,,,,
496,0.00047,0.178191904535559,947,0.0002,0.398034524272601,1579,0.01312,0.30817,2296,,,,,
532,0.04445,0.0650518092384121,1001,0.02824,0.112061372533792,1586,0.01815,0.25989,2288,,,,,
525,0.02404,0.0811894600154765,1009,0.04574,0.0865017026138368,1568,0.00757,0.44727,2275,,,,,
515,0.00819,0.10898906461665,978,0.00487,0.211630041054027,1596,0.02858,0.18432,2273,,,,,
532,0.04445,0.0650518092384121,1002,0.03048,0.108613965165864,1572,0.00934,0.39839,2279,,,,,
520,0.01473,0.0943687944150022,980,0.00587,0.201460931052631,1497,0.00003,0.93696,2224,,,,,
520,0.01473,0.0943687944150022,999,0.02487,0.119176187557166,1569,0.00803,0.40304,2276,,,,,
512,0.00565,0.118470433927221,971,0.00265,0.249302393440592,1598,0.03111,0.18239,2235,,,,,
509,0.00385,0.128491452448288,1002,0.03048,0.108613965165864,1598,0.03111,0.18239,2270,,,,,
519,0.01327,0.0971760516042577,980,0.00587,0.201460931052631,1548,0.00234,0.63986,2270,,,,,
524,0.02183,0.083712506483631,1015,0.06456,0.0702681444955853,1615,0.05993,0.07469,2297,,,,,
517,0.01044,0.102965095565681,1009,0.04574,0.0865017026138368,1601,0.03517,0.15017,2298,,,,,
501,0.00111,0.157872837837039,963,0.00119,0.295960953147864,1537,0.00126,0.72583,2269,,,,,
506,0.00245,0.139055810290674,988,0.01143,0.163596936174249,1565,0.00638,0.45153,2282,,,,,
532,0.04445,0.0650518092384121,981,0.00644,0.196479641188204,1535,0.00109,0.72837,2252,,,,,
527,0.02903,0.0763092778586665,994,0.01817,0.138256156118922,1549,0.00249,0.59962,2221,,,,,
529,0.03456,0.0716468529242503,979,0.00536,0.206511311307996,1567,0.00721,0.44869,2279,,,,,
525,0.02404,0.0811894600154765,997,0.02202,0.12658592461451,1613,0.05559,0.09458,2275,,,,,
526,0.02635,0.0787218852982478,1009,0.04574,0.0865017026138368,1561,0.00496,0.49948,2288,,,,,
506,0.00245,0.139055810290674,1002,0.03048,0.108613965165864,1573,0.00987,0.39689,2255,,,,,
492,0.00023,0.195509094793582,952,0.00032,0.365166807724098,1577,0.01217,0.34986,2274,,,,,
530,0.0376,0.0693959347613141,1010,0.04873,0.0836257027438171,1613,0.05559,0.09458,2295,,,,,
508,0.00337,0.131952420111913,935,0.00007,0.478754597182426,1541,0.00157,0.68676,2253,,,,,
531,0.04096,0.0671977840691001,984,0.00842,0.181956995921733,1534,0.00096,0.72949,2241,,,,,
527,0.02903,0.0763092778586665,1012,0.05445,0.0780802025093691,1596,0.02858,0.18432,2263,,,,,
522,0.01782,0.0889269333334436,987,0.01072,0.168078041112085,1521,0.00033,0.83168,2228,,,,,
508,0.00337,0.131952420111913,989,0.01249,0.159189045068407,1575,0.01087,0.35256,2297,,,,,
535,0.05631,0.0589208016905911,981,0.00644,0.196479641188204,1611,0.05175,0.09602,2268,,,,,
534,0.05189,0.0609139459038858,975,0.00379,0.227388189892184,1522,0.00036,0.8308,2174,,,,,
509,0.00385,0.128491452448288,954,0.00043,0.35222961439512,1532,0.00082,0.76421,2289,,,,,
521,0.0161,0.0916192212193727,959,0.00075,0.320536354788298,1536,0.00117,0.72714,2298,,,,,
528,0.03161,0.0739511142732888,998,0.02347,0.122844092015064,1598,0.03111,0.18239,2270,,,,,
531,0.04096,0.0671977840691001,963,0.00119,0.295960953147864,1531,0.00075,0.76548,2218,,,,,
525,0.02404,0.0811894600154765,989,0.01249,0.159189045068407,1597,0.02996,0.18339,2289,,,,,
529,0.03456,0.0716468529242503,986,0.00988,0.172632021468607,1544,0.00196,0.64544,2226,,,,,
528,0.03161,0.0739511142732888,985,0.00907,0.177258487449708,1542,0.00171,0.68557,2274,,,,,
513,0.00662,0.115250265824372,972,0.00288,0.243730083452166,1596,0.02858,0.18432,2293,,,,,
525,0.02404,0.0811894600154765,975,0.00379,0.227388189892184,1544,0.00196,0.64544,2266,,,,,
530,0.0376,0.0693959347613141,994,0.01817,0.138256156118922,1583,0.01589,0.30283,2255,,,,,
521,0.0161,0.0916192212193727,979,0.00536,0.206511311307996,1530,0.00071,0.76669,2247,,,,,
526,0.02635,0.0787218852982478,1005,0.03643,0.0987078893913366,1584,0.01658,0.26259,2266,,,,,
514,0.00742,0.112089883360774,962,0.00105,0.302033452995016,1514,0.00015,0.86075,2246,,,,,
532,0.04445,0.0650518092384121,998,0.02347,0.122844092015064,1534,0.00096,0.72949,2226,,,,,
525,0.02404,0.0811894600154765,987,0.01072,0.168078041112085,1567,0.00721,0.44869,2269,,,,,
524,0.02183,0.083712506483631,981,0.00644,0.196479641188204,1582,0.01517,0.30422,2294,,,,,
